Level	Symbol	Meaning	Radical Component Name	Radical Component Symbol	Meaning Mnemonic	Reading Onyomi	Reading Kunyomi	Reading Nanori	Reading Whitelist	Reading Mnemonic
2	小	Small,Little	Small	小	"The <radical>small</radical> radical and the <kanji>small</kanji> kanji are exactly the same.<br><br>

- Hint: Knowing radicals sure is nice, huh?"	<reading><jp>しょう</jp></reading>	<jp>ちい, こ, お</jp>	None	しょう	"This <kanji>small</kanji> kanji would be the perfect gift to give to the <reading>Shou</reading>gun (<jp>しょう</jp>). The Shougun loves little things, and the <kanji>little</kanji> kanji represents all of that.<br><br>

- Hint: You read that right, shougun is written with a long <jp>う</jp> sound. Make sure you spell it right from now on!"
15	築	Construct,Build	Bamboo,Saw,Tree	"竹,<i class=""radical-saw""></i>,木"	"You <radical>saw</radical> down a <radical>bamboo</radical> <radical>tree</radical> to <kanji>construct</kanji> and <kanji>build</kanji> a building. Bamboo trees are great for construction, so you saw down a bunch of bamboo trees to build this new building.<br><br>

- Hint: Imagine yourself sawing down this bamboo tree. Feel the saw in your hands as you slide through the bamboo, wood chips flying everywhere."	<reading><jp>ちく</jp></reading>	<jp>きず</jp>	None	ちく	"As you <kanji>construct</kanji> and <kanji>build</kanji> this building, you hear a strange cheeping noise. Suddenly a <reading>chick</reading> (<jp>ちく</jp>) pops out of one of the bamboo pieces you are building with. Then another, and another. You're surrounded by chicks!<br><br>

- Hint: Imagine trying to construct the rest of this building covered in baby chicks. They're very cute, but this is dangerous! You have to build very carefully, so you don't accidentally hurt any of them."
21	際	Occasion	Building,Festival	阝,祭	"<radical>Building</radical>s hold <radical>festival</radical>s on special <kanji>occasion</kanji>s.<br><br>

- Hint: A festival can't be happening all the time. Then it wouldn't be special, it would just be a party building, so they can only happen on special occasions."	<reading><jp>さい</jp></reading>	<jp>きわ</jp>	None	さい	"The <kanji>occasion</kanji> this time is to celebrate your wonderful <reading>cy</reading>borg (<jp>さい</jp>). It's about time you did something nice for it.<br><br>

- Hint: Your cyborg has been really great lately. Your wife loves it. It saved the world. It's nice of you to take this occasion to show the cyborg how much it means to you all with a festival."
9	度	Degrees,Occurrence	Yurt,Stool	"<i class=""radical-yurt""></i>,又"	"A <radical>yurt</radical>'s <radical>stool</radical> is always placed at certain <kanji>degrees</kanji>. The degrees change depending on specific <kanji>occurrence</kanji>s.<br><br>

- Hint: Since a yurt is round, the stool has to be angled at certain degrees. It's part of yurt culture. Imagine someone adjusting the stool with a measurement tool to adjust it to an exact degree."	<reading><jp>ど, たく</jp></reading>	<jp>たび</jp>	None	ど, たく	"Also angled at exact <kanji>degrees</kanji> is the <reading>do</reading>g (<jp>ど</jp>).<br><br>

- Hint: The dog changes its degrees at every occurrence of the stool changing. Picture the dog leaning at the exact degree the stool is at."
7	高	Tall,Expensive,High	Lid,Mouth,Mustache	亠,口,冋	"There's a <radical>lid</radical> on your <radical>mouth</radical> and <radical>mustache</radical>, covering up all your talking holes. This is because you kept saying how <kanji>tall</kanji> and <kanji>expensive</kanji> you are.<br><br>

- Hint: Imagine yourself saying how tall and expensive you are to everyone in the room. Then they use a lid to cover your mouth so you can't talk to anyone anymore. But, then your mustache starts talking, saying the same thing. That's why this lid covers both your mustache and your mouth. Now you can't say that you are tall or expensive."	<reading><jp>こう</jp></reading>	<jp>たか</jp>	None	こう	"""I am <kanji>tall</kanji>er and more <kanji>expensive</kanji> than you."" <br><br>

You're saying this because there are some <reading><jp>こう</jp></reading>s in the room, and you want to make them feel inferior (you're a <jp>こういち</jp> hater). You keep comparing your height to the <jp>こういち</jp>s in the room, and you keep checking price tags. Then you tell them you're taller and more expensive than they are.<br><br>

- Hint: The <jp>こういち</jp>s finally get tired of your shenanigans, and lid up your mouth and mustache so you can't say that you're tall or expensive. "
8	身	Somebody,Someone,Body	Self,Slide	自,丿	"The self radical is a bit modified, with things sticking out, but that’s because it’s falling down a slide.<br><br>

Sure, it’s your<radical>self</radical> who’s tumbling down the <radical>slide</radical>… at least that’s how it feels to you. Who are you? What are you? All you know is you’re <kanji>somebody</kanji>, but you don’t know who that somebody is.<br><br>

- Hint: Apparently, you’re having some kind of internal crisis. Come up with a rough one and you’ll remember this kanji better."	<reading><jp>しん</jp></reading>	<jp>み</jp>	None	しん	"You’re falling down this metaphorical slide… And then you hit <kanji>somebody</kanji>… and you hit them really hard. On your metaphorical <reading>shin</reading> (<jp>しん</jp>). You split it in half and it’s at a right angle. The pain is incredible (shins have a lot of nerves!). It may have been broken, and you may not be able to walk correctly again… metaphorically speaking, that is.<br><br>

- Hint: Just make the shin hit as painful as possible in your imagination and you’ll surely remember this kanji’s on’yomi."
10	飲	Drink	Eat,Lack	食,欠	"You can <radical>eat</radical> all you want, but you'll still <radical>lack</radical> something to <kanji>drink</kanji>. You can't live just from eating, you have to drink things too!<br><br>

- Hint: Imagine eating and eating and lacking a delicious, cold, thirst-quenching drink. Your mouth is dry. You have to drink something, anything!"	<jp>いん</jp>	<reading><jp>の</jp></reading>	None	の	"You get desperate for a <kanji>drink</kanji> and put some <reading>no</reading>ri (<jp>の</jp>) seaweed in a blender, trying to create a drink of your own.<br><br>

- Hint: Luckily, this nori isn't dried and pressed like they usually are, and you manage to make a bright green nori drink. You gulp it down, and even though it tastes like the ocean, it hits the spot!"
10	酒	Alcohol	Tsunami,Alcohol	氵,酉	"A <radical>tsunami</radical> is an <radical>alcohol</radical>ic beverage containing a lot of <kanji>alcohol</kanji>. It’s 3 different kinds of rums, pineapple juice, and grenadine. It’ll hit you like a tsunami though. This alcoholic drink has a kick to it.<br><br>

- Hint: It’s made with spiced rum, coconut rum, and dark rum. Imagine yourself on a sandy beach drinking this cocktail. Feel the sun on your face and the wind in your hair as you sip on this fruity and rummy alcoholic beverage known as a tsunami. You could even picture an actual tsunami in the water coming right for you. I wouldn’t recommend it though—actual tsunami are scary, not drinkable and delicious."	<reading><jp>しゅ</jp></reading>	<jp>さけ, さか</jp>	None	しゅ	"As you lay on this beach, the <kanji>alcohol</kanji> keeps coming down a <reading>chu</reading>te (<jp>しゅ</jp>), straight into your mouth. You can feel the sand in your toes and the alcohol sliding down your throat from this special tsunami chute.<br><br>

- Hint: Picture the alcohol flowing down this long chute from somewhere far away. You try to see where it's coming from, but all you can see is this long, long chute stretching along the entire beach, until it disappears into the distance. You should probably be concerned that you're nonstop drinking alcohol from a random chute, but it tastes so good!"
27	屈	Yield	Flag,Exit	尸,出	"You see a <radical>flag</radical> by the <radical>exit</radical> letting you know to <kanji>yield</kanji>. There’s cross traffic just outside the exit, and the flag lets you know that you need to yield to them.<br><br>

- Hint: Look at this flag telling you to yield. Now look through the exit right by the flag. You can see a bunch of people out there walking. Imagine standing by the exit, yielding to the other people until you have an opening. Hear the hustle and bustle of the people as you wait."	<reading><jp>くつ</jp></reading>	<jp>かが</jp>	None	くつ	"Even though the flag told you to <kanji>yield</kanji>, you’re starting to lose your patience. The people walking outside the exit are all a bunch of crazy old <reading>coots</reading> (<jp>くつ</jp>)! These crazy coots keep walking right in front of the door, getting in the way. The old coots aren’t even going anywhere, they just keep looping around to obstruct the way!<br><br>

- Hint: Darn coots! Forget the yield flag, it’s time to exit. Imagine busting out of the exit, punching and pushing your way through the old coots. Hear them scream and shout “Augh! My hip!” as you plow through them."
7	理	Reason	King,Village	王,里	"The <radical>king</radical>'s <radical>village</radical> is the <kanji>reason</kanji> he's king. Without the village there would be no reason to have a king in the first place.<br><br>

- Hint: If a king has no one to rule then he has no reason to exist."	<reading><jp>り</jp></reading>	<jp>ことわり</jp>	None	り	"You can't have <kanji>reason</kanji> without <reading>re</reading> (<jp>り</jp>).<br><br>

- Hint: Just like you can't have a king without a village, you can't have reason without re."
