Level	Symbol	Meaning	Kanji Component Name	Kanji Component Symbol	Meaning Mnemonic	Word Type	Reading	Reading Whitelist	Reading Mnemonic	Reading Audio Male	Reading Audio Female	Context 1-EN	Context 1-JP	Context 2-EN	Context 2-JP	Context 3-EN	Context 3-JP	Context 4-EN	Context 4-JP
33	冷蔵庫	Refrigerator,Fridge	冷,蔵,庫	Cool,Storehouse,Storage	A <kanji>cool</kanji> <kanji>storehouse</kanji> <kanji>storage</kanji> is a place you put things (like food) to keep them cool. This is a <vocabulary>refrigerator</vocabulary>.	noun	<reading><jp>れいぞうこ</jp></reading>	れいぞうこ	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-れいぞうこ-Male.mp3]	[sound:Vocab-れいぞうこ-Female.mp3]	Why did you get a tattoo that says refrigerator?	<jp>なんでタトゥーで冷蔵庫なんて彫ったの？</jp>	None	None	None	None	None	None
33	裏切り	Backstab,Betrayal	裏,切	Backside,Cut	From the <kanji>backside</kanji> you <kanji>cut</kanji> someone. Wow. What a jerk. What a <vocabulary>backstab</vocabulary>.	noun	<reading><jp>うらぎり</jp></reading>	うらぎり	This word is <jp>裏</jp> and <jp>切る</jp>'s readings, put together.	[sound:Vocab-うらぎり-Male.mp3]	[sound:Vocab-うらぎり-Female.mp3]	They use this facility to kill traitors. 	<jp>奴らは裏切り者を殺すのにこの施設を利用している。</jp>	None	None	None	None	None	None
33	装い	Attire,Dress,Garb	装	Attire	This looks like it's an adjective, but it's just a tricky word. It's a noun, and it means the same thing as the kanji, making it <vocabulary>attire</vocabulary>.	noun	<reading><jp>よそおい</jp></reading>	よそおい	"""<reading>Yo, so, oh</reading>, you gonna wear that <vocabulary>attire</vocabulary> today or what?"""	[sound:Vocab-よそおい-Male.mp3]	[sound:Vocab-よそおい-Female.mp3]	You’re already in a spring dress.	<jp>もうすっかり春の装いだね。</jp>	None	None	None	None	None	None
33	変装	Disguise	変,装	Change,Attire	<kanji>Change</kanji> your <kanji>attire</kanji> to look like someone else. This is a <vocabulary>disguise</vocabulary>.	noun,する verb	<reading><jp>へんそう</jp></reading>	へんそう	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-へんそう-Male.mp3]	[sound:Vocab-へんそう-Female.mp3]	I made it to the disguise class at the last minute.	<jp>変装教室にギリギリ間に合いました。</jp>	None	None	None	None	None	None
33	装置	Equipment,Device,Apparatus	装,置	Attire,Put	This <kanji>attire</kanji> is <kanji>put</kanji> inside this <vocabulary>equipment</vocabulary>, where it's changed into something else. This attire <vocabulary>device</vocabulary> is strange and interesting. Imagine something that it does to your attire.	noun,する verb	<reading><jp>そうち</jp></reading>	そうち	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-そうち-Male.mp3]	[sound:Vocab-そうち-Female.mp3]	I learned how to use an electrical control unit today.	<jp>今日は電気制御装置の使い方を学びました。</jp>	None	None	None	None	None	None
33	裏通り	Alley,Back Street	裏,通	Backside,Pass Through	"A <kanji>backside</kanji> <kanji>street</kanji> (or ""avenue"") is a street that's not a main street... it's hidden and behind everything, making it an <vocabulary>alley</vocabulary>."	noun	<reading><jp>うらどおり</jp></reading>	うらどおり	The reading is <jp>裏</jp> and <jp>通り</jp> put together into one word.	[sound:Vocab-うらどおり-Male.mp3]	[sound:Vocab-うらどおり-Female.mp3]	The race car sped, weaving through the side streets.	<jp>レーシングカーは、裏通りを縫うようにして走っていった。</jp>	None	None	None	None	None	None
30	怖がる	To Be Scared,To Be Afraid Of,To Fear	怖	Scary	"<jp>怖い</jp> is ""scary."" This is a verb version, making it <vocabulary>to be scared</vocabulary> or <vocabulary>to be afraid of</vocabulary>."	intransitive verb,godan verb	<reading><jp>こわがる</jp></reading>	こわがる	The reading comes from <jp>怖い</jp>.	[sound:Vocab-こわがる-Male.mp3]	[sound:Vocab-こわがる-Female.mp3]	My husband was very scared of getting surgery for his ingrown eyelashes.	<jp>私の主人は逆さ睫毛の手術を受けるのをとても怖がっていたんですよ。</jp>	None	None	None	None	None	None
33	賃貸	Rental	賃,貸	Rent,Lend	<kanji>Rent</kanji> it and I will <kanji>lend</kanji> it to you. This thing that is being lent and rented? It's a <vocabulary>rental</vocabulary>.	noun,する verb,の adjective	<reading><jp>ちんたい</jp></reading>	ちんたい	This is a jukugo word that uses the on'yomi readings of the kanji. You just have to remember that <jp>貸</jp> is read as <jp>たい</jp> for this one. What is your rental? It is a <reading>tie</reading> (<jp>たい</jp>) fighter. Sweet.	[sound:Vocab-ちんたい-Male.mp3]	[sound:Vocab-ちんたい-Female.mp3]	My friend is looking for an apartment to rent, don’t you know any good places?	<jp>友人が賃貸のアパートを探してるんですが、どこかいい物件を知りませんかね。</jp>	None	None	None	None	None	None
31	主催する	To Sponsor,To Promote	主,催	Master,Sponsor	If <jp>主催</jp> is <kanji>sponsorship</kanji>, the verb version of that would be <vocabulary>to sponsor</vocabulary>.	する verb	<reading><jp>しゅさいする</jp></reading>	しゅさいする	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. It will help to know the word <jp>主催</jp> already as well.	[sound:Vocab-しゅさいする-Male.mp3]	[sound:Vocab-しゅさいする-Female.mp3]	Our school is hosting a karaoke party this Saturday. Would you like to join us?	<jp>うちの学校で土曜日にカラオケパーティーを主催するんだけど、よかったら来ない？</jp>	None	None	None	None	None	None
31	恐れる	To Fear,To Dread	恐	Fear	Because the hiragana ends with an <jp>う</jp> sound, you know this word is a verb. The kanji itself means <kanji>fear</kanji> so the verb version is <vocabulary>to fear</vocabulary>.	transitive verb,ichidan verb	<reading><jp>おそれる</jp></reading>	おそれる	"The reading is shared with <jp>恐ろしい</jp>, which is ""scary."" Use that, and don't be afraid. You'll be able to learn this reading yet."	[sound:Vocab-おそれる-Male.mp3]	[sound:Vocab-おそれる-Female.mp3]	I’m not afraid of anything except for going blind.	<jp>目が見えなくなること以外は、何も恐れることはないよ。</jp>	None	None	None	None	None	None
