Level	Symbol	Meaning	Kanji Component Name	Kanji Component Symbol	Meaning Mnemonic	Word Type	Reading	Reading Whitelist	Reading Mnemonic	Reading Audio Male	Reading Audio Female	Context 1-EN	Context 1-JP	Context 2-EN	Context 2-JP	Context 3-EN	Context 3-JP	Context 4-EN	Context 4-JP
12	悪女	Evil Woman,Wicked Woman,Bad Woman	Bad,Woman	悪,女	"A <kanji>bad</kanji> <kanji>woman</kanji> is an <vocabulary>evil woman</vocabulary>. Surprisingly, ""mother in law"" is not one of the meanings for this word."	noun	<reading><jp>あくじょ</jp></reading>	あくじょ	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.	[sound:Vocab-あくじょ-Male.mp3]	[sound:Vocab-あくじょ-Female.mp3]	That bitch sure has good ears!	<jp>あの悪女、耳だけはいいんだよな。</jp>	She is a wicked woman, but is always on time.	<jp>かの女は悪女だが、いつも時間はきっちり守る。</jp>	The evil woman took my breath away. I was crazy about her.	<jp>その悪女は息をのむほど美しかった。僕は彼女に夢中だった。</jp>	None	None
4	五百	Five Hundred	Five,Hundred	五,百	When you have <kanji>five</kanji> <kanji>hundred</kanji>s you also have <vocabulary>five hundred</vocabulary>.	numeral	<reading><jp>ごひゃく</jp></reading>	ごひゃく	This word uses the on'yomi readings for both kanji, so you should be able to read it already!	[sound:Vocab-ごひゃく-Male.mp3]	[sound:Vocab-ごひゃく-Female.mp3]	Please memorize five hundred kanji by the end of March.	<jp>三月まつまでに、かん字を五百こおぼえてください。</jp>	Japan has 500-yen coins.	<jp>日本には五百円玉というものがあります。</jp>	"""How are we going to get five hundred horses into one car?"" asked the woman. ""You’re right! Do you think I should have brought the van instead?"" the man replied."	<jp>「どうやって五百頭もの馬を車に乗せるっていうの？」と女が聞いた。「そうだよね。代わりにバンを持ってきた方が良かったかな。」と男は答えた。</jp>	None	None
44	携帯ストラップ	Cell Phone Strap,Mobile Phone Strap	Portable,Belt	携,帯	You know how <jp>携帯</jp> refers to a mobile phone? This is a <kanji>strap</kanji> (<jp>ストラップ</jp>) for a mobile phone, making this a <vocabulary>cell phone strap</vocabulary> or <vocabulary>mobile phone strap</vocabulary>.	noun	<reading><jp>けいたいすとらっぷ</jp></reading>,<reading><jp>けいたいストラップ</jp></reading>	けいたいすとらっぷ,けいたいストラップ	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own. Will help to know the reading of <jp>携帯</jp>.	[sound:Vocab-けいたいすとらっぷ-Male.mp3],None	[sound:Vocab-けいたいすとらっぷ-Female.mp3],None	The cell phone strap is so gross just thinking about it makes me puke.	<jp>あの携帯ストラップが気色悪すぎて、考えるだけでも吐きそうだわ。</jp>	None	None	None	None	None	None
4	竹の子	Bamboo Shoot,Bamboo Sprout	Bamboo,Child	竹,子	"What is a <kanji>child</kanji> of <kanji>bamboo</kanji>? That would be a baby bamboo. Because ""baby bamboo"" doesn't really make sense, we'll instead call this word <vocabulary>bamboo shoots</vocabulary>. P.S. Fresh bamboo shoots cooked on a fire are delicious, make sure you try them sometime."	noun	<reading><jp>たけのこ</jp></reading>	たけのこ	If you know the readings of the kanji for <jp>竹</jp> and the vocabulary for <jp>子</jp> you should be able to read this word as well.	[sound:Vocab-たけのこ-Male.mp3]	[sound:Vocab-たけのこ-Female.mp3]	I’m boiling bamboo shoots.	<jp>竹の子をゆでているところです。</jp>	If you go up north from the entrance of Mt. Fuji, there is a place where you can dig up a lot of bamboo shoots on your way.	<jp>ふじ山の入り口から北の方にのぼっていくと、と中に竹の子が山のようにとれるところがあります。</jp>	"""Hey, man. It’s cool, it’s cool. Take all the bamboo shoots you want,"" said the panda."	<jp>「あ、お兄さん。わかりました。わかりました。竹の子、好きなだけ持って行ってください。」とパンダが言った。</jp>	None	None
4	耳	Ear,Ears	Ear	耳	The kanji and the word are exactly the same. That means they share meanings as well.	noun	<reading><jp>みみ</jp></reading>	みみ	Since this word is made up of a single kanji, it should use the kun'yomi reading which is the reading you learned with the kanji. So you should be able to read this word already.	[sound:Vocab-みみ-Male.mp3]	[sound:Vocab-みみ-Female.mp3]	This cat’s ears are brown.	<jp>このねこの耳はちゃいろです。</jp>	I love bread crusts.	<jp>パンの耳はわたしの大こうぶつです。</jp>	I named my left ear Mimi. My right ear doesn’t hear very well, so I named it Mama.	<jp>わたしは、左耳をミミと名付けた。右耳はよく聞こえないので、ママと名付けた。</jp>	None	None
9	和食	Japanese Style Food,Japanese Food	Peace,Eat	和,食	"<kanji>Japanese style</kanji> <kanji>eat</kanji> ... well, let's change ""eat"" to ""food"" and you have <vocabulary>Japanese style food</vocabulary>. This is a good way to differentiate between an American style restaurant and a Japanese style restaurant. What kind of food you feeling like tonight? Oh, how about some <jp>和食</jp>?"	noun	<reading><jp>わしょく</jp></reading>	わしょく	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.	[sound:Vocab-わしょく-Male.mp3]	[sound:Vocab-わしょく-Female.mp3]	Well I like having Japanese style food for breakfast.	<jp>朝ごはんは、和食がいいですね。</jp>	There's been an increase in Americans who prefer Japanese cuisine to Western cuisine.	<jp>アメリカ人の中にもさい近、よう食よりも和食がすきな人がふえている。</jp>	Japanese style food doesn’t always mean sushi.	<jp>和食イコール寿司ってわけじゃない。</jp>	None	None
4	虫	Bug,Insect	Insect	虫	The kanji and the word are exactly the same. That means they share meanings as well.	noun	<reading><jp>むし</jp></reading>	むし	Since this word is made up of a single kanji, it should use the kun'yomi reading, which is also the reading you learned when you learned this kanji!	[sound:Vocab-むし-Male.mp3]	[sound:Vocab-むし-Female.mp3]	I don’t like bugs.	<jp>虫はにが手です。</jp>	That insect is spinning white thread from its mouth.	<jp>あの虫、口から白い糸をはいているよ！</jp>	No, that bug doesn’t bite. However, I will bite you if you still kill it.	<jp>ううん。その虫は噛まないよ。でも、もし君がそれでもそいつを殺すって言うなら、僕が君のことを噛むよ。</jp>	None	None
9	和服	Japanese Style Clothes,Japanese Clothing,Japanese Style Clothing,Japanese Clothes	Peace,Clothes	和,服	"<kanji>Japanese style</kanji> <kanji>clothes</kanji> (<vocabulary>Japanese Style Clothes</vocabulary>). We're talking kimonos and yukata and things like that. Basically, this differentiates Japanese clothing from Western clothing. <br><br>

What kind of clothes will you wear to the festival tonight? Oh, probably some <jp>和服</jp>."	noun	<reading><jp>わふく</jp></reading>	わふく	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.	[sound:Vocab-わふく-Male.mp3]	[sound:Vocab-わふく-Female.mp3]	You look good in Japanese style clothes too.	<jp>和服もに合ってるね。</jp>	How many Japanese style clothes do you have?	<jp>何ちゃく和服をもっていますか？</jp>	Have you seen Japanese people running marathons in Japanese style clothes?	<jp>和服でマラソンをする日本人を見たことがありますか？</jp>	None	None
24	副大統領	Vice President	Vice,Big,Unite,Territory	副,大,統,領	You know about <jp>大統領</jp> (<kanji>president</kanji>), right? Well, this is the <kanji>vice</kanji> version of the president, aka the <vocabulary>vice president</vocabulary>.	noun	<reading><jp>ふくだいとうりょう</jp></reading>	ふくだいとうりょう	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. It will help if you know the word <jp>大統領</jp> first, though.	[sound:Vocab-ふくだいとうりょう-Male.mp3]	[sound:Vocab-ふくだいとうりょう-Female.mp3]	I think we should give it a try. You may not become the president, but maybe you’ll become the vice president.	<jp>やってみるべきだと思うけど。大統領は無理でも、副大統領ぐらいなら狙えるんじゃない？</jp>	None	None	None	None	None	None
40	膝小僧	Kneecap	Knee,Small,Priest	膝,小,僧	"In your <kanji>knee</kanji> there is a <kanji>small</kanji> <kanji>priest</kanji> named <vocabulary>Kneecap</vocabulary>.<br><br>

This is a really common, cute way of talking about your kneecap. It's usually used by kids and adults alike, and it's more common in spoken Japanese than <jp>膝頭</jp>. Kind of like how we use ""kneecap"" instead of naming the ""patella"" bone all the time."	noun	<reading><jp>ひざこぞう</jp></reading>	ひざこぞう	This word uses the kun'yomi readings for <jp>膝小</jp> plus the on'yomi reading for <jp>僧</jp>. You've learned them all already, so you should be able to read this as long as you remember them all.	[sound:Vocab-ひざこぞう-Male.mp3]	[sound:Vocab-ひざこぞう-Female.mp3]	I fell off my bike and my kneecap hurts.	<jp>自転車で転んで、膝小僧が痛い。</jp>	I recently got a tattoo on my right kneecap.	<jp>最近、右の膝小僧にタトゥーを入れたんです。</jp>	How's your kneecap?	<jp>膝小僧の調子はどうですか？</jp>	None	None
