Level	Symbol	Meaning	Kanji Component Name	Kanji Component Symbol	Meaning Mnemonic	Word Type	Reading	Reading Whitelist	Reading Mnemonic	Reading Audio Male	Reading Audio Female	Context 1-EN	Context 1-JP	Context 2-EN	Context 2-JP	Context 3-EN	Context 3-JP	Context 4-EN	Context 4-JP
14	完全	Complete,Perfect,Perfection,Completeness	完,全	Perfect,All	When something is <kanji>all</kanji> <kanji>perfect</kanji> it is <vocabulary>complete</vocabulary>. Not only that, but it's <vocabulary>perfect</vocabulary> (because it's ALL perfect, not just partially so).	noun,な adjective,の adjective	<reading><jp>かんぜん</jp></reading>	かんぜん	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.	[sound:Vocab-かんぜん-Male.mp3]	[sound:Vocab-かんぜん-Female.mp3]	Tofugu is approaching perfection little by little every day.	<jp>トーフグは日々少しずつ完全のいきに近づいている。</jp>	Unfortunately, Koichi has a perfect alibi.	<jp>残念ながら、コウイチには完全なアリバイがあります。</jp>	Oh jeez! Now you’ve completely distracted me. What was it that you wanted to talk about... office dog, was it?	<jp>ああ、もう！お前のせいで完全に気が散っちゃったじゃないか！話したいことって何なんだよ。オフィスで飼う犬だっけか？</jp>	None	None
7	近々	Before Long,Soon	近,々	Near,Repeater	When something is <kanji>close</kanji> <kanji>close</kanji> (the <jp>々</jp> character repeats the kanji that was before it) it will happen <vocabulary>before long</vocabulary>.	noun	<reading><jp>ちかぢか</jp></reading>,<reading><jp>きんきん</jp></reading>	ちかぢか,きんきん	The reading is the kun'yomi reading twice; that's the one you learn with the vocab word <jp>近い</jp> from the previous level. The second <jp>近</jp> gets converted to <jp>ぢか</jp>, though, so take note of that.	[sound:Vocab-ちかぢか-Male.mp3],[sound:Vocab-きんきん-Male.mp3]	[sound:Vocab-ちかぢか-Female.mp3],[sound:Vocab-きんきん-Female.mp3]	I think there will be an announcement about it soon.	<jp>それについては、近々はっぴょうがあると思いますよ。</jp>	We're supposed to get snow soon, so if we get a lot, I will make a snow igloo.	<jp>近々雪がふるはずなので、たくさんつもったらかまくらを作ります。</jp>	You’ll get cancer before long if you keep smoking.	<jp>もしタバコを吸い続けるなら、あなたは近々癌を発症するでしょう。</jp>	None	None
46	揚げ出し	Deep Fried	揚,出	Hoist,Exit	"Remember how <jp>揚げる</jp> can mean ""to deep fry?"" Something that was deep fried and then put in front of you is <vocabulary>deep fried</vocabulary>."	noun	<reading><jp>あげだし</jp></reading>	あげだし	The reading is <jp>揚げる</jp> and <jp>出す</jp>'s reading.	[sound:Vocab-あげだし-Male.mp3]	[sound:Vocab-あげだし-Female.mp3]	Here is a plate of delicious deep fried tofu I just made.	<jp>これは出来たてホカホカの美味しい揚げ出し豆腐ですよ。</jp>	None	None	None	None	None	None
14	完成	Completion,Accomplishment	完,成	Perfect,Become	When something has <kanji>become</kanji> <kanji>perfect</kanji> it has reached <vocabulary>completion</vocabulary>.	noun,する verb	<reading><jp>かんせい</jp></reading>	かんせい	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.	[sound:Vocab-かんせい-Male.mp3]	[sound:Vocab-かんせい-Female.mp3]	Can you get me up before it's completed?	<jp>完成前に起こしてもらえますか？</jp>	Tofugu has accomplished a great deal in the last few days.	<jp>トーフグはこの数日間で、かなりのりょうを完成させた。</jp>	Our new Japanese learning app will be completed in a month or so.	<jp>我々の新しい日本語学習アプリは、あと一ヶ月程で完成します。</jp>	None	None
46	叫び	Shout,Scream,A Shout,A Scream	叫	Shout	"<jp>叫ぶ</jp> is ""to shout"" and ""to scream."" This is the noun version. This is a <vocabulary>shout</vocabulary> or <vocabulary>scream</vocabulary>."	noun	<reading><jp>さけび</jp></reading>	さけび	The reading comes from <jp>叫ぶ</jp>.	[sound:Vocab-さけび-Male.mp3]	[sound:Vocab-さけび-Female.mp3]	If you put triple A batteries in this toy and turn on the power, he will scream.	<jp>この人形に単四電池を入れて電源を入れると、叫び出すんです。</jp>	None	None	None	None	None	None
46	お握り	Onigiri,Rice Ball	握	Grip	"<jp>握り</jp> is a ""grip."" When you add <jp>お</jp> it's elevated a bit. For some reason it becomes a <vocabulary>rice ball</vocabulary> (aka <vocabulary>onigiri</vocabulary>). To make a rice ball, you use your grip to make them into a ball shape, which is probably where it comes from."	noun	<reading><jp>おにぎり</jp></reading>	おにぎり	The reading comes from <jp>握り</jp>.	[sound:Vocab-おにぎり-Male.mp3]	[sound:Vocab-おにぎり-Female.mp3]	I forbade my son from eating convenience store rice balls.	<jp>私は息子がコンビニのお握りを食べることを禁止しました。</jp>	None	None	None	None	None	None
13	選ぶ	To Choose	選	Choose	"This word consists of kanji with hiragana attached. Because the hiragana ends with an <jp>う</jp> sound, you know this word is a verb. The kanji itself means <kanji>""choose""</kanji>, so the verb version is <vocabulary>to choose</vocabulary>."	transitive verb,godan verb	<reading><jp>えらぶ</jp></reading>	えらぶ	"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: 

You have the opportunity <vocabulary>to choose</vocabulary>. You choose, and a bright sign lights up reading ""<reading>error</reading>"" (<jp>えら</jp>)."	[sound:Vocab-えらぶ-Male.mp3]	[sound:Vocab-えらぶ-Female.mp3]	I can't choose who to kill.	<jp>だれを殺人するかなんて、選べないよ。</jp>	I stopped listening to my teacher and just kept thinking about which girl to choose.	<jp>先生の話を聞かずに、ずっとどっちの女の子を選ぼうか考えていました。</jp>	You chose a great Fugu costume.	<jp>良いフグのコスチュームをお選びになりましたね。</jp>	None	None
17	悲しむ	To Be Sad	悲	Sad	This word consists of kanji with hiragana attached. Because the hiragana ends with an <jp>う</jp> sound, you know this word is a verb. The kanji itself means <kanji>sad</kanji> so the verb form of that is <vocabulary>to be sad</vocabulary>. Boohoo.	transitive verb,godan verb	<reading><jp>かなしむ</jp></reading>	かなしむ	If you're going <vocabulary>to be sad</vocabulary> about something right now, it will be <reading>kana</reading> (<jp>かな</jp>). Don't use kana when you're trying to learn kanji! You'll be sad forever if you're stuck using kana your whole life, so don't let that habit start now, friend.	[sound:Vocab-かなしむ-Male.mp3]	[sound:Vocab-かなしむ-Female.mp3]	She got dumped and she's very sad.	<jp>かの女は失れんしてとても悲しんでいます。</jp>	Animals, as well as humans, are saddened by the deaths of their friends.	<jp>人間だけではなく、動物も仲間の死を悲しみます。</jp>	Don’t be sad. Your Japanese is good enough for now. Just don’t stop learning and you’ll improve little by little.	<jp>そう悲しむなって。お前の日本語は今はそれで十分だよ。ただ、勉強することを投げ出さずに、少しずつ上手くなればいいさ。</jp>	None	None
9	弱虫	Weakling,Coward	弱,虫	Weak,Insect	A <kanji>weak</kanji> <kanji>insect</kanji>. This is what people call <vocabulary>weakling</vocabulary>s in Japan. This is a good word to know if you're a bully, or something.	noun,な adjective,の adjective	<reading><jp>よわむし</jp></reading>	よわむし	"The reading for this one is a weird one. It uses the kun'yomi readings for both, meaning you'll have to pull your knowledge of the word <jp>弱い</jp> from earlier and apply it here. <jp>虫</jp> should be okay, though, as this is the reading you learned with the kanji.

Just remember, only weak bugs use kun'yomi, and that weak bug is you in this instance."	[sound:Vocab-よわむし-Male.mp3]	[sound:Vocab-よわむし-Female.mp3]	My son, who was such a weakling and a crybaby, is already an adult.	<jp>あんなに弱虫でなき虫だったむす子も、もう一人前の大人です。</jp>	Many Americans are cowards who can't even eat a bit of natto.	<jp>多くのアメリカ人はなっとうごときが食べられない弱虫です。</jp>	Cowards should be treated like hairy caterpillars - picked up and thrown out!	<jp>弱虫毛虫は、挟んで捨てろ！</jp>	None	None
11	特別	Special	特,別	Special,Separate	Something that is <kanji>special</kanji> and <kanji>separate</kanji> from the rest is, well, <vocabulary>special</vocabulary>.	adverb,noun,な adjective,の adjective	<reading><jp>とくべつ</jp></reading>	とくべつ	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.	[sound:Vocab-とくべつ-Male.mp3]	[sound:Vocab-とくべつ-Female.mp3]	I got a special coupon for the new Tarantino film.	<jp>タランティーノの新作の、特別ゆう待けんをもらいました。</jp>	Is this the special car designed by Tofugu?	<jp>これがトーフグデザインの特別な車ですか。</jp>	Even though she isn't especially cute, she is very popular among boys, yeah?	<jp>あの子って、特別かわいいわけではないのにモテるよね？</jp>	None	None
