Level	Symbol	Meaning	Radical Component Name	Radical Component Symbol	Meaning Mnemonic	Reading Onyomi	Reading Kunyomi	Reading Nanori	Reading Whitelist	Reading Mnemonic
6	茶	Tea	Flowers,Hat,Angel	"艹,<i class=""radical-hat""></i>,ホ"	"You come across an <radical>angel</radical> wearing a <radical>hat</radical> that's covered in <radical>flowers</radical>. So, you do the only natural thing. You take this angel, chop him up into tiny pieces, and dry him out. Then, you make <kanji>tea</kanji> out of all the dried up angel bits. You wear the hat, though.<br><br>

- Hint: How does this angel-flower tea taste? Be sure to imagine it. Probably heavenly *rimshot.*"	<reading><jp>ちゃ, さ</jp></reading>	None	None	ちゃ, さ	"In your <kanji>tea</kanji> you find a little metal button. I guess you missed it while you turned the angel into tea. You look at the button - on the back it says ""To <reading>Cha</reading>d, you'll make an awesome angel."" Looks like you're drinking Chad the Angel.<br><br>

- Hint: It gets kind of weird when you know their names... Usually you just make them into tea without knowing who they are (easier that way). This one... this one is Chad, and you remember it vividly, because now you feel kind of bad."
38	璧	Disc,Jade Disc	Hot Pepper,King,Drop	辟,王,丶	"You offer a <radical>hot pepper</radical> to the <radical>king</radical>, and he gives you a <radical>drop</radical> of something. You look down at the drop to see it transforming into a <kanji>disc</kanji>. And not just any old disc at that. It's a <kanji>jade disc</kanji>.<br><br>

Have you ever seen ancient Chinese jade discs with holes in the middle? That's what this kanji is referring to.<br><br>

- Hint: You took a long time to pick out the perfect hot pepper. Only the best for the king, right? It burned your hands a little as you held it on your way to the palace. You were hoping for something pretty special in return, but you never imagined it would be a drop that magically turns into a disc. Wow!"	<reading><jp>へき</jp></reading>	<jp>たま</jp>	None	へき	"Wait, did a drop really just change into a <kanji>disc</kanji>? What the <reading>heck i</reading>s (<jp>へき</jp>) going on?<br><br>

- Hint: You start to realize just how crazy the situation is. Seriously. How the heck is a drop able to turn into a jade disc?"
14	完	Perfect	Roof,Origin	宀,元	"The <radical>roof</radical> that became the <radical>origin</radical> of all roofs was <kanji>perfect</kanji>. It was tall and wide so it could fit and protect everyone. And the dimensions were perfect too.<br><br>

- Hint: Picture this absolutely perfect roof. They really got it right on their first try."	<reading><jp>かん</jp></reading>	None	None	かん	"This <kanji>perfect</kanji> roof was commissioned by Genghis <reading>Khan</reading> (<jp>かん</jp>). We got all of the carpenters and home makers and construction workers he'd conquered together and tasked them with making the first roof, but only if they made it absolutely perfect.<br><br>

- Hint: Genghis Khan was a perfectionist, and by conquering and bringing all of these different people together, he was able to create something perfect by all standards."
25	隠	Hide	Building,Cleat,Wolverine,Heart	"阝,<i class=""radical-cleat""></i>,ヨ,心"	"Behind a <radical>building</radical>, a <radical>cleat</radical>-wearing <radical>wolverine</radical> is holding his <radical>heart</radical> and trying to <kanji>hide</kanji>.<br><br>

- Hint: You know the phrase, ""You can run, but you can't hide?"" This wolverine can't run anymore so he's trying to hide (even though he knows it probably won't work)."	<reading><jp>いん</jp></reading>	<jp>かく</jp>	None	いん	"The wolverine looks up at the building he's trying to <kanji>hide</kanji> behind and sees it's an <reading>inn</reading> (<jp>いん</jp>).<br><br>

- Hint: Lucky wolverine! Inns are good for hiding. The staff isn't supposed to give out his room number, and there are tons of different rooms for him to hide in."
19	絡	Entangle,Coil Around,Entwine	Thread,Kiss	糸,各	"If you put a <radical>thread</radical> in the middle of a <radical>kiss</radical>, you’re going to <kanji>entangle</kanji> it. Things can get pretty messy in a kiss, so adding a thread to the mix will definitely entangle it.<br><br>

- Hint: Imagine trying to kiss someone with a piece of thread between your lips. Feel the thread getting all entangled between the two of you as you lock lips. It’s really detracting from the experience."	<reading><jp>らく</jp></reading>	<jp>から</jp>	None	らく	"This is your first kiss ever so getting a thread to <kanji>entangle</kanji> between your lips was really bad <reading>luck</reading> (<jp>らく</jp>). The person you were trying to kiss got really grossed out by the thread and tried to push you away but was so entangled with the thread that they were unable. Bad luck indeed.<br><br>

- Hint: Picture yourself being tied to someone by the tongue with thread. You can’t escape, and you can’t believe your bad luck. Feel the thread tugging on your tongue as you try to get yourself untangled."
2	子	Child,Kid	Child	子	"The <radical>child</radical> radical and the <kanji>child</kanji> kanji are exactly the same.<br><br>

- Hint: So, if you know your radicals, you know your kanji as well! This won't last forever (where radicals are exactly the same as the kanji) so enjoy it while the kanji are still small and simple!"	<reading><jp>し, す</jp></reading>	<jp>こ</jp>	None	し, す	"To remember the sounds  <jp>し</jp> and <jp>す</jp> we'll use these mnemonics:<br><br>

There is a <kanji>child</kanji> standing in front of you. You look closely at the child but something seems wrong. You rub your eyes and when you open them again there is a <reading>shee</reading>p (<jp>し</jp>) in a <reading>su</reading>it (<jp>す</jp>) in front of you. You yelp, blink, and it's back to being a child. Are... all children really just sheep in suits?!<br><br>

- Hint: The child runs away and you chase after it. Every time it's about to turn a corner it looks like a sheep in a suit again, but whenever you yell and point, it turns back. You're the only one who can see this sheep suit child!!"
41	郷	Hometown	Poop,Guy	幺,郎	"Everyone has a <radical>poop</radical> <radical>guy</radical> from their <kanji>hometown</kanji>. You know. That poop guy. And every single time you try to visit your hometown, poop guy is there making everyone uncomfortable and reminding you why you left in the first place.<br><br>

- Hint: Picture the poop guy from your hometown. Picture him really vividly. The awkward, rude things he does. The way he smells. The way he makes you never want to come back."	<reading><jp>きょう</jp></reading>	None	None	きょう	"Your <kanji>hometown</kanji> is in <reading><jp>きょう</jp></reading> which, unfortunately, means your poop guy is in <jp>きょうと</jp> too. Now every time you go back home he's there stinking everything up.<br><br>

- Hint: Imagine all the wonderful things that exist in your hometown of <jp>きょうと</jp>. All the things you love to do and see. And now picture poop guy. Ruining it all with his poop hands."
8	住	Dwelling,Reside,Dwell	Leader,Master	ｲ,主	"The <radical>leader</radical> of the <radical>master</radical>s gets the biggest <kanji>dwelling</kanji>. She <kanji>reside</kanji>s in a huge mansion on the top of the mountain, surrounded by all the other masters in their smaller dwellings.<br><br>

- Hint: Picture the leader master's big, beautiful dwelling. Everyone else is jealous."	<reading><jp>じゅう</jp></reading>	<jp>す</jp>	None	じゅう	"She needs this big <kanji>dwelling</kanji> so she has somewhere to store all of her <reading>jew</reading>els (<jp>じゅう</jp>). Masters always have lots of fancy, expensive things, and she has jewels.<br><br>

- Hint: Imagine opening the door to the leader master's dwelling and thousands of jewels come pouring out, whisking you off, down the mountain."
9	保	Preserve,Guarantee	Leader,Mouth,Tree	ｲ,口,木	"The <radical>mouth</radical> of a <radical>tree</radical> <radical>leader</radical> is all about trying to <kanji>preserve</kanji> the trees. In fact, she <kanji>guarantee</kanji>s that she will preserve the trees if it's the last thing she does.<br><br>

- Hint: Basically, a tree leader is someone who stands up for trees. Mostly she talks, but that can be a powerful skill to have."	<reading><jp>ほ</jp></reading>	<jp>たも</jp>	None	ほ	"She chains herself to a tree to <kanji>preserve</kanji> them. But, unfortunately, the lumberjacks just take a giant back <reading>ho</reading>e (<jp>ほ</jp>) and tear this tree leader and the tree she's attached to in half.<br><br>

- Hint: What a terrible scene. Focus on the fact that they're using a horrible, modified back hoe. It's more like a weapon than a back hoe, and they show no mercy at all."
9	仮	Temporary	Leader,Anti	ｲ,反	"Your <radical>leader</radical> is very <radical>anti</radical>-everything, making it all <kanji>temporary</kanji>. You get a new shirt, ""I'm anti shirts!"" she yells, and out it goes.<br><br>

- Hint: She tires of things so quickly, you hardly have time to get used to them before they're gone."	<reading><jp>か</jp></reading>	<jp>かり</jp>	None	か	"The leader's most <kanji>temporary</kanji> possession is her <reading>ca</reading>r (<jp>か</jp>). Or... cars, because they're all very temporary. She buys one, drives it around, and then suddenly she's anti red car. She needs a blue one!<br><br>

- Hint: Picture all of the temporary cars she's tried filling up an entire junkyard. They're all a little different, but in the end they were all just temporary fads."
