Level	Symbol	Meaning	Kanji Component Name	Kanji Component Symbol	Meaning Mnemonic	Word Type	Reading	Reading Whitelist	Reading Mnemonic	Reading Audio Male	Reading Audio Female	Context 1-EN	Context 1-JP	Context 2-EN	Context 2-JP	Context 3-EN	Context 3-JP	Context 4-EN	Context 4-JP
54	酷評	Severe Criticism,Damnation	Cruel,Evaluate	酷,評	<kanji>Evaluate</kanji> in a <kanji>cruel</kanji> way so you can lay some <vocabulary>severe criticism</vocabulary> down on your competition! It's not the nicest thing to do, and it's not very constructive for them, but it will make you look better. 	noun,する verb,の adjective	<reading><jp>こくひょう</jp></reading>	こくひょう	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-こくひょう-Male.mp3]	[sound:Vocab-こくひょう-Female.mp3]	I can’t write anything if I pay an undue amount of attention to each severe criticism.	<jp>いちいち酷評を気にしてたら、何も書けないよ。</jp>	None	None	None	None	None	None
54	疾病	Illness,Disease	Rapidly,Sick	疾,病	A <kanji>rapid</kanji> <kanji>sick</kanji>ness is an <vocabulary>illness</vocabulary> or a <vocabulary>disease</vocabulary>.	noun	<reading><jp>しっぺい</jp></reading>	しっぺい	"This is a jukugo word that uses the on'yomi readings of the kanji. You didn't learn this reading for <jp>病</jp> yet, so here's a mnemonic to help you:<br><br>

If you don't treat an <vocabulary>illness</vocabulary> right away you'll end up <reading>pay</reading>ing (<jp>ぺい</jp>) with your life. And if you don't die, you'll still have to pay a lot for doctor and hospital fees. Yuck."	[sound:Vocab-しっぺい-Male.mp3]	[sound:Vocab-しっぺい-Female.mp3]	The three major diseases are cancer, heart attack, and stroke.	<jp>がん、急性心筋梗塞、脳卒中のことを三大疾病といいます。</jp>	None	None	None	None	None	None
41	故郷	Hometown,Birthplace	Circumstance,Hometown	故,郷	By <kanji>circumstance</kanji> this is your <kanji>hometown</kanji>. Not much to say other than it's your <vocabulary>hometown</vocabulary> and <vocabulary>birthplace</vocabulary>.	noun	<reading><jp>こきょう</jp></reading>,<reading><jp>ふるさと</jp></reading>	こきょう,ふるさと	"This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.<br><br>

While <jp>こきょう</jp> is the more common reading for this word, it can also be read as <jp>ふるさと</jp>, which is a native Japanese word that originally didn't have kanji. <jp>ふるさと</jp> is also common in hiragana. "	[sound:Vocab-こきょう-Male.mp3],[sound:Vocab-ふるさと-Male.mp3]	[sound:Vocab-こきょう-Female.mp3],[sound:Vocab-ふるさと-Female.mp3]	From what I’ve heard, she moved back to her hometown after the divorce.	<jp>聞いたところによると、彼女、離婚後故郷に戻ったらしいぜ。</jp>	None	None	None	None	None	None
54	冷酷	Cruel,Coldhearted,Relentless,Ruthless	Cool,Cruel	冷,酷	A <kanji>cruel</kanji> <kanji>cool</kanji> person is more <vocabulary>cruel</vocabulary> and <vocabulary>coldhearted</vocabulary> than just a normal cruel person. It's probably because they're cold all the time and it makes them mad. You should stay away from people like that.	noun,な adjective	<reading><jp>れいこく</jp></reading>	れいこく	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-れいこく-Male.mp3]	[sound:Vocab-れいこく-Female.mp3]	I always thought you were a cruel person.	<jp>あなたのこと、ずっと冷酷な人だと思っていました。</jp>	None	None	None	None	None	None
59	禍根	Root Of Evil,Source Of Evil	Evil,Root	禍,根	<kanji>Evil</kanji>'s <kanji>root</kanji> is the <vocabulary>root of evil</vocabulary>. It's the <vocabulary>source of evil</vocabulary> things.	noun	<reading><jp>かこん</jp></reading>	かこん	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-かこん-Male.mp3]	[sound:Vocab-かこん-Female.mp3]	I want to avoid turning a blind eye to future trouble, if I can.	<jp>できれば禍根を残すことは避けたい。</jp>	None	None	None	None	None	None
7	風船	Balloon	Wind,Boat	風,船	A <kanji>wind</kanji> <kanji>boat</kanji>. This is a strange one for sure. You may assume this is like one of those giant balloons you can go ride around in, and you'd be partly right. Really, this word covers the general word <vocabulary>balloon</vocabulary>, though it especially has to do with the toy-style balloons (or smaller balloons). It's a little round wind ship!	noun	<reading><jp>ふうせん</jp></reading>	ふうせん	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.	[sound:Vocab-ふうせん-Male.mp3]	[sound:Vocab-ふうせん-Female.mp3]	That clown made a dog out of a balloon for me.	<jp>あのピエロが、風船で犬を作ってくれたんだ。</jp>	Please use this balloon as a motion sickness bag when you feel air sick.	<jp>ひ行きによったば合は、この風船をエチケットぶくろの代わりにごしようください。</jp>	Some people actually made a house float using balloons.	<jp>風船を使って実際に空飛ぶ家を作った人たちがいます。</jp>	None	None
5	金玉	Testicles	Gold,Ball	金,玉	"You have some <kanji>gold</kanji> <kanji>ball</kanji>s. What balls are more important than any other balls, at least for a dude? That would be his <vocabulary>testicles</vocabulary>. <br><br>

This word came about because tanuki scrotum skin would be used to pound down gold into sheets. Tanuki scrotums are apparently very good at this because they are very strong and very flexible. Strange, yeah? That's why Gold balls = testicles."	noun	<reading><jp>きんたま</jp></reading>	きんたま	This word uses the on'yomi for <jp>金</jp> and the kun'yomi for <jp>玉</jp>. If you know the readings of your kanji, you'll know how to read this as well.	[sound:Vocab-きんたま-Male.mp3]	[sound:Vocab-きんたま-Female.mp3]	My testicles sting.	<jp>金玉がヒリヒリするんです。</jp>	I'm sure that my testicles are working twice as hard as the other mens'.	<jp>おれの金玉はぜったい他の男のばいはたらいてるとおもうぜ。</jp>	The surgery to make testicles gold in color is fully booked for the next six months.	<jp>金玉を金色にする手術は、六ヶ月先まで予約がいっぱいです。</jp>	None	None
54	疾患	Disease,Ailment,Disorder	Rapidly,Afflicted	疾,患	Something that you are <kanji>afflicted</kanji> with <kanji>rapid</kanji>ly is a <vocabulary>disease</vocabulary>. You should go to the doctor's right away to treat this fast-acting ailment.	noun,の adjective	<reading><jp>しっかん</jp></reading>	しっかん	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-しっかん-Male.mp3]	[sound:Vocab-しっかん-Female.mp3]	My little sister has a mental disorder.	<jp>私の妹は、精神疾患を抱えています。</jp>	None	None	None	None	None	None
17	泣き声	Crying,Sob	Cry,Voice	泣,声	A <kanji>cry</kanji> <kanji>voice</kanji> is a sound of <vocabulary>crying</vocabulary> or a <vocabulary>sob</vocabulary>. Don't cry! Kanji will get easier someday!	noun	<reading><jp>なきごえ</jp></reading>	なきごえ	The reading comes from the vocab words <jp>泣く</jp> and <jp>声</jp>. So long as you know those two words okay, you should be able to read this word too!	[sound:Vocab-なきごえ-Male.mp3]	[sound:Vocab-なきごえ-Female.mp3]	When I heard my wife sobbing, I finally realized that she'd had a tough day.	<jp>つまの泣き声を聞いて、ようやくつらい一日をすごしたんだなということが分かりました。</jp>	I overheard Koichi talk with Viet in a tearful voice.	<jp>コウイチがビエトに泣き声で話しをしてるのを聞いてしまったんだよね。</jp>	I understand that hearing a crying baby can be unbearable, but that doesn’t mean that people shouldn’t bring their babies on the train, right?	<jp>赤ん坊の泣き声を聞くのは耐え難いことだというのは分かるのですが、だからって赤ちゃんを電車に乗せない方がいいってことにはならないと思うのですが？</jp>	None	None
54	卸値	Wholesale Price	Wholesale,Value	卸,値	When you sell something at <kanji>wholesale</kanji> <kanji>value</kanji> it's being sold at a <vocabulary>wholesale price</vocabulary>.	noun	<reading><jp>おろしね</jp></reading>	おろしね	The readings for this word are both kun'yomi readings. You've learned both of these readings by now so you should be able to read this on your own.	[sound:Vocab-おろしね-Male.mp3]	[sound:Vocab-おろしね-Female.mp3]	I was able to buy it at wholesale price.	<jp>それは卸値で購入することができたんです。</jp>	None	None	None	None	None	None
