Level	Symbol	Meaning	Kanji Component Name	Kanji Component Symbol	Meaning Mnemonic	Word Type	Reading	Reading Whitelist	Reading Mnemonic	Reading Audio Male	Reading Audio Female	Context 1-EN	Context 1-JP	Context 2-EN	Context 2-JP	Context 3-EN	Context 3-JP	Context 4-EN	Context 4-JP
11	老人	Old Person,Elderly Person	Elderly,Person	老,人	An <kanji>elderly</kanji> <kanji>person</kanji> is an <vocabulary>old person</vocabulary> (or an <vocabulary>elderly person</vocabulary>). Don't call a person a <jp>古い人</jp>, though. <jp>古い</jp> is used for things, not people. Be nice, they're your elders.	noun,の adjective	<reading><jp>ろうじん</jp></reading>	ろうじん	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.	[sound:Vocab-ろうじん-Male.mp3]	[sound:Vocab-ろうじん-Female.mp3]	In Japan, more and more elderly people are living alone or in pairs.	<jp>日本では、老人の一人ぐらしや二人ぐらしがふえています。</jp>	Did you patch things up with that elderly person?	<jp>あの老人とは仲直りした？</jp>	Wow! That old man is such a hunky beefcake.	<jp>うわ！あの老人めちゃくちゃイケメンでマッチョなんだけど。</jp>	None	None
38	必需品	Necessities,Essentials	Certain,Demand,Product	必,需,品	I have <kanji>certain</kanji> <kanji>demand</kanji>s for <kanji>goods</kanji> to take on this trip. Don't worry, it's just the <vocabulary>necessities</vocabulary> and <vocabulary>essentials</vocabulary>.	noun	<reading><jp>ひつじゅひん</jp></reading>	ひつじゅひん	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-ひつじゅひん-Male.mp3]	[sound:Vocab-ひつじゅひん-Female.mp3]	I wonder what the necessities for a newborn baby are.	<jp>新生児にとっての必需品って何だろう。</jp>	None	None	None	None	None	None
31	掃く	To Sweep	Sweep	掃	Because the hiragana ends with an <jp>う</jp> sound, you know this word is a verb. The kanji itself means <kanji>sweep</kanji> so the verb version is <vocabulary>to sweep</vocabulary>.	transitive verb,godan verb	<reading><jp>はく</jp></reading>	はく	"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: While you <vocabulary>sweep</vocabulary> you laugh. ""<reading>HA</reading> (<jp>は</jp>) HA HA!"" Just imagine yourself doing this, or do it for real if you want to clean up a bit."	[sound:Vocab-はく-Male.mp3]	[sound:Vocab-はく-Female.mp3]	Could you sweep the meeting room before the meeting starts?	<jp>会議が始まる前に、会議室をちょっと掃いておいてもらっていいかな。</jp>	None	None	None	None	None	None
46	〜歳	Years Old	Years Old	歳	The kanji and the word are exactly the same. That means they share meanings as well. This is put on the end of numbers to show how old someone is.	suffix	<reading><jp>さい</jp></reading>	さい	The reading is the same as the one you learned with the kanji.	[sound:Vocab-さい-Male.mp3]	[sound:Vocab-さい-Female.mp3]	Ever since I turned thirty, my whole body has been itchy.	<jp>三十歳を過ぎてから、全身がすごく痒いんだよね。</jp>	None	None	None	None	None	None
43	慰める	To Console	Consolation	慰	Because the hiragana ends with an <jp>う</jp> sound, you know this word is a verb. The kanji itself means <kanji>consolation</kanji> and the verb vocab version is <vocabulary>to console</vocabulary>.	transitive verb,ichidan verb	<reading><jp>なぐさめる</jp></reading>	なぐさめる	Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: I'm going <vocabulary>to console</vocabulary> you for what happened to you. The <reading>nag saw</reading> (<jp>なぐさ</jp>) was turned on and buzzed through your leg. What a nagging feeling. You need some consoling.	[sound:Vocab-なぐさめる-Male.mp3]	[sound:Vocab-なぐさめる-Female.mp3]	Our dog consoles us whenever we get depressed.	<jp>落ち込んでいると、いつもうちのワン子が慰めてくれます。</jp>	None	None	None	None	None	None
36	歌舞伎	Kabuki	Song,Dance,Deed	歌,舞,伎	A <kanji>song</kanji> <kanji>dance</kanji> <kanji>deed</kanji> is a deed you do that involves singing and dancing. This is the traditional form of stage deeds, known as <vocabulary>kabuki</vocabulary>. Watch it on YouTube if you want a taste.	noun	<reading><jp>かぶき</jp></reading>	かぶき	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-かぶき-Male.mp3]	[sound:Vocab-かぶき-Female.mp3]	My kabuki ticket is missing.	<jp>歌舞伎のチケットが見当たらないんだけど。</jp>	None	None	None	None	None	None
22	経験者	Experienced Person	Passage of...,Test,Someone	経,験,者	<kanji>Someone</kanji> who has experience (<jp>経験</jp>) is an <vocabulary>experienced person</vocabulary>.	noun	<reading><jp>けいけんしゃ</jp></reading>	けいけんしゃ	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well.	[sound:Vocab-けいけんしゃ-Male.mp3]	[sound:Vocab-けいけんしゃ-Female.mp3]	Do you think Koichi would hire an experienced criminal at Tofugu?	<jp>コウイチはTofuguに犯罪経験者を雇うと思いますか？</jp>	None	None	None	None	None	None
46	白菊	White Chrysanthemum	White,Chrysanthemum	白,菊	A <kanji>white</kanji> <kanji>chrysanthemum</kanji> is a <vocabulary>white chrysanthemum</vocabulary>.	noun	<reading><jp>しらぎく</jp></reading>	しらぎく	The reading of <jp>白</jp> is a bit different from normal. It's <reading><jp>しら</jp></reading> instead of <jp>しろ</jp>, so do your best to keep that in mind. Watch out for the rendaku.	[sound:Vocab-しらぎく-Male.mp3]	[sound:Vocab-しらぎく-Female.mp3]	Placing a bunch of white chrysanthemums in front of a house is more than just a nuisance because they are used to mourn the dead in Japan. Do you get what I’m saying?	<jp>家の前に大量の白菊を並べるなんて、迷惑行為以上のことだよ。だって、白菊は日本では死者を弔う花だからね。言ってる意味が分かりますか？</jp>	None	None	None	None	None	None
47	粘着	Cohesion,Adhesion,Adhesive	Sticky,Wear	粘,着	If something <kanji>sticky</kanji> <kanji>wears</kanji> something else on it, it will stick together and form a <vocabulary>cohesion</vocabulary> or <vocabulary>adhesion</vocabulary> onto that thing. It's sticky after all.	noun,する verb	<reading><jp>ねんちゃく</jp></reading>	ねんちゃく	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-ねんちゃく-Male.mp3]	[sound:Vocab-ねんちゃく-Female.mp3]	Why do you keep the adhesive tape in your jewelry box?	<jp>どうして粘着テープを宝石箱に仕舞っているの？</jp>	None	None	None	None	None	None
13	温める	To Heat Up,To Warm Something Up	Warm	温	You know that the kanji <jp>温</jp> means <kanji>warm</kanji>, and this verb is related. It means <vocabulary>to heat up</vocabulary> or <vocabulary>to warm something up</vocabulary>. It's all about you doing something to another object to make it hot, like putting it in the microwave. 	transitive verb,ichidan verb	<reading><jp>あたためる</jp></reading>	あたためる	The kanji reading is the same as <jp>温かい</jp>. As long as you know that word, you should be able to associate that reading with this word. 	[sound:Vocab-あたためる-Male.mp3]	[sound:Vocab-あたためる-Female.mp3]	Please don't heat that bowl in the microwave.	<jp>その器は電子レンジで温めないでください。</jp>	Before I go to bed, I like to heat up milk and drink it.	<jp>夜ねる前に牛乳を温めてホットミルクにして飲むのが好きです。</jp>	Kombu seaweed releases its sweet flavor when it’s soaked in water and heated up.	<jp>水に入れて温めると、昆布のうまみ成分がしみ出てきます。</jp>	None	None
