Kana,Romaji,Type
が,ga,Dakuon (濁音)
ぎ,gi,Dakuon (濁音)
ぐ,gu,Dakuon (濁音)
げ,ge,Dakuon (濁音)
ご,go,Dakuon (濁音)
ざ,za,Dakuon (濁音)
じ,ji,Dakuon (濁音)
ず,zu,Dakuon (濁音)
ぜ,ze,Dakuon (濁音)
ぞ,zo,Dakuon (濁音)
だ,da,Dakuon (濁音)
ぢ,di,Dakuon (濁音)
づ,du,Dakuon (濁音)
で,de,Dakuon (濁音)
ど,do,Dakuon (濁音)
ば,ba,Dakuon (濁音)
び,bi,Dakuon (濁音)
ぶ,bu,Dakuon (濁音)
べ,be,Dakuon (濁音)
ぼ,bo,Dakuon (濁音)
ぱ,pa,Handakuon (半濁音)
ぴ,pi,Handakuon (半濁音)
ぷ,pu,Handakuon (半濁音)
ぺ,pe,Handakuon (半濁音)
ぽ,po,Handakuon (半濁音)
